Language,4 bits,8 bits,32 bits
cy,108.1875,104.8125,104.46208953857422
mt,101.1875,98.5,98.23338317871094
uz,101.625,96.5625,96.6672134399414
ps,11.0078125,10.8125,10.782386779785156
si,4.203125,4.14453125,4.153053283691406
yo,13.4609375,12.84375,12.794151306152344
jv,89.3125,86.5625,86.46734619140625
ku,99.625,94.3125,94.29126739501953
lo,4.078125,4.00390625,4.006622791290283
lb,159.25,150.75,149.9975128173828
bg,7.3671875,7.1484375,7.139772415161133
he,6.328125,6.22265625,6.219339370727539
el,7.03515625,6.703125,6.703088760375977
uk,7.66796875,7.4609375,7.450871467590332
da,107.3125,100.0,99.88253021240234
ro,77.625,73.75,73.48014068603516
no,65.375,61.875,61.92438507080078
id,119.25,112.9375,112.611328125
ms,91.0625,86.25,85.80152893066406
th,4.02734375,3.919921875,3.9218263626098633
en,13.25,12.84375,12.840757369995117
fr,32.53125,30.453125,30.401628494262695
de,21.640625,20.71875,20.703805923461914
es,37.21875,34.71875,34.63545227050781
nl,79.75,73.5,73.50492095947266
ru,5.76171875,5.51171875,5.511416435241699
ar,6.80078125,6.5546875,6.549149990081787
ja,12.015625,11.3984375,11.388318061828613
ko,4.53125,4.4140625,4.409012794494629
pt,47.15625,44.03125,43.957881927490234
